Isolate,Brain CFU,Lung CFU
UgCl212,15512,13080000
UgCl236,74808,39480000
UgCl243,462590,26032000
UgCl247,49618,49080000
UgCl250,6.8,7
UgCl252,286400,28044000
UgCl255,4684.6,22467600
UgCl291,4763333.333,3100000
UgCl292,4564.8,8040000
UgCl300,358452.5,1673000
UgCl326,1510000.5,50720000
UgCl332,150826.8,1822000
UgCl357,174230,32980000
UgCl360,401878,18740000
UgCl377,17639.77778,2293790
UgCl379,284502,10460000
UgCl382,41572.9,18466666.67
UgCl389,55312,16040000
UgCl390,92841,20420000
UgCl395,15458,11840000
UgCl422,193950,44500000
UgCl438,1.333333333,222085.7143
UgCl447,9756.166667,41760000
UgCl450,56233.1,22280000
UgCl461,11803,43245.5
UgCl462,313801.1111,16432000
UgCl466,6669.333333,87.33333333
UgCl468,265973.1,16210000
UgCl534,39722,6190000
UgCl535,5825.8,157600000
UgCl538,24,19288000
UgCl541,492880,30280000
UgCl546,443480,36013333.33
UgCl547,19196,11894000
UgCl549,5277.25,14172.11111
