Strain,37,pH 8.15,NaCl,Congo Red,SDS,Caffine,CFW,Niger Seed 25,Niger Seed 30,L-DOPA 25,L-DOPA 30,Urease,Total Cell,Cell Body,Capsule,Titan
UgCl212,0,0,-2,0,-4,2,0,5,2,3,2,0,-4,-1,-3,0
UgCl236,-1,0,-1,0,-4,-3,0,4,1,3,2,0,-3,-1,-2,0
UgCl243,0,0,-1,-2,-5,-2,1,3,3,4,2,-1,-3,-1,-2,0
UgCl247,1,-1,-3,0,-4,0,0,4,1,3,1,1,-2,-1,-1,0
UgCl250,-2,-1,0,-5,-5,-4,-5,2,2,1,2,0,-2,-1,-2,0
UgCl252,0,-1,-1,0,-5,0,0,3,2,3,3,-1,-2,-1,-1,0
UgCl255,0,-1,-1,-1,-4,0,0,2,0,4,2,0,-3,-1,-2,0
UgCl262,0,0,1,3,-4,0,2,1,0,4,2,1,-3,-1,-1,0
UgCl291,-1,0,-1,1,-4,-3,0,4,3,1,1,-1,2,2,-1,1
UgCl292,0,0,-1,-1,-5,0,0,3,3,3,3,1,-2,-1,-1,0
UgCl300,1,-1,-1,-2,-5,0,0,5,3,4,3,0,-2,-1,-1,0
UgCl326,-1,-1,1,0,-4,-1,0,5,5,4,3,1,-2,-1,0,0
UgCl332,-1,0,-3,0,-4,1,2,3,3,2,3,-1,-3,-1,-2,0
UgCl357,1,-1,-1,0,-5,0,0,3,0,4,2,1,-2,-1,-1,0
UgCl360,0,-1,-1,-3,-3,-2,0,4,2,3,3,0,-2,-1,-1,0
UgCl362,-2,-1,-2,0,-3,0,-1,4,3,3,4,-1,-1,-1,0,0
UgCl377,0,-3,-2,-1,-5,1,-1,5,4,5,3,0,-3,-1,-3,0
UgCl379,0,-3,-3,-2,-5,1,0,1,0,3,3,1,-2,-1,-3,0
UgCl382,0,-2,-3,0,-5,0,-1,5,1,2,1,1,-1,-1,-2,0
UgCl389,0,-1,-3,0,-3,0,0,1,0,3,1,0,-2,-1,-3,0
UgCl390,-1,0,0,0,-3,-2,0,2,1,3,1,0,-2,-1,-1,0
UgCl395,0,-1,1,0,-5,0,0,4,3,3,3,0,-2,-1,-1,0
UgCl422,0,-1,-3,-2,-5,0,-2,4,3,3,3,-1,-2,1,-1,0
UgCl438,0,0,0,0,-5,0,0,2,1,2,2,-1,-2,-1,-2,0
UgCl447,0,-1,-3,-3,-5,-2,-3,3,2,3,2,0,-2,-1,-1,0
UgCl450,1,-1,-1,0,-5,0,-2,2,0,4,1,0,-2,-1,-1,0
UgCl461,0,-1,-1,0,-5,0,0,4,3,3,3,-1,-2,-1,-1,0
UgCl462,-1,-1,-3,-3,-5,0,-2,1,0,3,1,-1,-2,-1,-1,0
UgCl466,-2,-1,-3,-5,-5,-4,0,3,2,4,2,1,-3,-1,-2,0
UgCl468,-2,-1,-3,0,-5,0,0,4,2,3,2,-1,-2,-1,-2,0
UgCl495,0,-2,-2,0,-3,0,0,4,3,3,4,0,-3,-1,-1,0
UgCl534,0,-1,-1,-1,-5,1,0,4,3,4,3,-1,-2,-1,-1,0
UgCl535,0,0,-3,0,-2,0,0,5,3,2,2,-1,-2,-1,-1,0
UgCl538,0,0,1,0,-5,-2,0,1,1,1,1,1,-1,-1,0,1
UgCl541,-1,-1,-3,0,-3,0,0,4,4,4,4,-1,-1,-1,0,0
UgCl546,0,-3,-3,0,-5,-3,0,2,3,2,3,0,-2,-1,-1,0
UgCl547,0,-1,-1,-2,-5,0,0,2,3,3,3,-1,-2,-1,-1,0
UgCl549,-1,0,-1,0,-5,0,0,4,4,3,1,1,-3,-1,-3,0
