SNP.ID,Gene,Coord,Trait,Beta,P.Value,Direction
1_44747,CNAG_00012,44747,GM-CSF,10.24806,5.763354e-02,Positive
1_44747,CNAG_00012,44747,IL-2,0.4864327,6.966719e-05,Positive
1_44747,CNAG_00012,44747,IL-12p70,9.059325,5.851013e-02,Positive
1_44753,CNAG_00012,44753,GM-CSF,10.08861,6.713549e-02,Positive
1_44785,CNAG_00012,44785,IL-2,0.4272582,3.794321e-03,Positive
1_477160,CNAG_00174,477160,Brain CFU,444326.4,2.920846e-02,Positive
5_836479,CNAG_01241,836479,IFN-Gamma,195.8251,2.614269e-02,Positive
5_836479,CNAG_01241,836479,SDS,0.70310730447427,0.0630884613292289,Positive
5_836568,CNAG_01241,836568,Virulence dpi,-12.22018,2.957672e-02,Negative
5_836899,CNAG_01241,836899,Brain CFU,327112.6,1.123560e-01,Positive
11_10931,CNAG_01461,10931,Brain CFU,325683.9,6.912698e-02,Positive
11_10931,CNAG_01461,10931,GM-CSF,13.80198,1.162323e-02,Positive
11_10931,CNAG_01461,10931,IL-12p70,13.36126,6.038748e-03,Positive
11_104630,CNAG_01491,104630,Brain CFU,290476.1,2.786096e-02,Positive
11_104630,CNAG_01491,104630,IL-18,5.628594,4.991818e-04,Positive
11_804706,CNAG_01754,804706,Lung CFU,-9728214.0,1.079361e-02,Negative
6_988043,CNAG_02176,988043,IL-13,-1.903495,3.223347e-02,Negative
6_988261,CNAG_02176,988261,IL-5,1.587101,8.388361e-02,Positive
6_988843,CNAG_02176,988843,Lung CFU,8876924.0,2.331836e-02,Positive
6_989732,CNAG_02176,989732,IL-13,1.56077,1.091688e-01,Positive
6_989732,CNAG_02176,989732,L-DOPA-30,-1.01374675458199,0.0058401546894279,Negative
6_990992,CNAG_02176,990992,Brain CFU,267853.4,9.271719e-02,Positive
6_220264,CNAG_02475,220264,IL-5,-2.128232,3.909651e-02,Negative
6_220264,CNAG_02475,220264,IL-13,-2.006583,5.922424e-02,Negative
6_220264,CNAG_02475,220264,Lung CFU,-4481543.0,9.550501e-02,Negative
6_220267,CNAG_02475,220267,IL-5,-2.128232,3.909651e-02,Negative
6_220267,CNAG_02475,220267,IL-13,-2.006583,5.922424e-02,Negative
6_220267,CNAG_02475,220267,Lung CFU,-4515485.0,2.204982e-01,Negative
6_221273,CNAG_02475,221273,IL-1b,-4.652763,2.505853e-02,Negative
6_221275,CNAG_02475,221275,IL-1b,-5.13047,1.297057e-02,Negative
6_221282,CNAG_02475,221282,IL-1b,-5.287399,5.065585e-03,Negative
6_221282,CNAG_02475,221282,Lung CFU,-7638303.0,9.986969e-02,Negative
6_191358,CNAG_02487,191358,IFN-Gamma,398.8219,2.178127e-03,Positive
6_191358,CNAG_02487,191358,Brain CFU,406265.2,2.129869e-02,Positive
8_817562,CNAG_03387,817562,IL-1b,5.15105,1.579237e-01,Positive
8_817562,CNAG_03387,817562,IL-18,7.615095,1.718521e-05,Positive
8_817562,CNAG_03387,817562,TNF-Alpha,2.602414,1.186034e-01,Positive
8_817567,CNAG_03387,817567,IL-1b,5.15105,1.579237e-01,Positive
8_817567,CNAG_03387,817567,IL-18,7.615095,1.718521e-05,Positive
8_817567,CNAG_03387,817567,TNF-Alpha,2.602414,1.186034e-01,Positive
8_817674,CNAG_03387,817674,Brain CFU,290974.5,3.287792e-02,Positive
8_817674,CNAG_03387,817674,IL-18,4.983788,5.409948e-04,Positive
9_5213,CNAG_04100,5213,IFN-Gamma,308.9245,4.552798e-03,Positive
9_6619,CNAG_04101,6619,IFN-Gamma,143.0655,2.226203e-02,Positive
9_6619,CNAG_04101,6619,IL-1b,6.451787,1.887037e-02,Positive
9_6619,CNAG_04101,6619,IL-6,21.03073,1.321888e-02,Positive
9_6619,CNAG_04101,6619,IL-18,3.632922,2.849131e-03,Positive
9_6619,CNAG_04101,6619,Lung CFU,1115395.0,8.250908e-01,Positive
9_6619,CNAG_04101,6619,TNF-Alpha,3.051985,4.003096e-03,Positive
9_6619,CNAG_04101,6619,Virulence dpi,-16.68373,1.215900e-02,Negative
9_6619,CNAG_04101,6619,Virulence Category,1.00447521210231,0.00422132662109985,Positive
9_705571,CNAG_04374,705571,Lung CFU,-302589.5,9.497030e-01,Negative
10_318276,CNAG_04820,318276,IL-2,0.1788755,3.105647e-01,Positive
10_18785,CNAG_04922,18785,IL-13,2.503979,4.844648e-02,Positive
10_18988,CNAG_04922,18988,GM-CSF,NA,NA,Missing
10_18988,CNAG_04922,18988,IL-12p70,NA,NA,Missing
10_18988,CNAG_04922,18988,TNF-Alpha,NA,NA,Missing
10_18988,CNAG_04922,18988,GM-CSF,NA,NA,Missing
10_18988,CNAG_04922,18988,IL-12p70,NA,NA,Missing
10_18988,CNAG_04922,18988,TNF-Alpha,NA,NA,Missing
10_18997,CNAG_04922,18997,GM-CSF,NA,NA,Missing
10_18997,CNAG_04922,18997,IL-12p70,NA,NA,Missing
10_18997,CNAG_04922,18997,TNF-Alpha,NA,NA,Missing
10_19002,CNAG_04922,19002,GM-CSF,-27.62153,2.678650e-04,Negative
10_19002,CNAG_04922,19002,IL-4,-15.2478,2.057622e-03,Negative
10_19002,CNAG_04922,19002,IL-12p70,-25.44767,1.897935e-04,Negative
10_19002,CNAG_04922,19002,IL-13,-3.983754,8.873700e-03,Negative
10_19004,CNAG_04922,19004,GM-CSF,-27.62153,2.678650e-04,Negative
10_19004,CNAG_04922,19004,IL-4,-15.2478,2.057622e-03,Negative
10_19004,CNAG_04922,19004,IL-12p70,-25.44767,1.897935e-04,Negative
10_19004,CNAG_04922,19004,IL-13,-3.983754,8.873700e-03,Negative
10_19015,CNAG_04922,19015,GM-CSF,-27.62153,2.678650e-04,Negative
10_19015,CNAG_04922,19015,IL-4,-15.2478,2.057622e-03,Negative
10_19015,CNAG_04922,19015,IL-12p70,-25.44767,1.897935e-04,Negative
10_19015,CNAG_04922,19015,IL-13,-3.983754,8.873700e-03,Negative
10_19031,CNAG_04922,19031,GM-CSF,-45.37094,4.519502e-09,Negative
10_19031,CNAG_04922,19031,IL-12p70,-40.76484,1.976574e-09,Negative
10_19031,CNAG_04922,19031,TNF-Alpha,-7.49427,1.281693e-03,Negative
10_19067,CNAG_04922,19067,IL-18,-7.873382,1.082793e-04,Negative
4_667433,CNAG_05185,667433,Brain CFU,310354.3,4.116552e-02,Positive
